<NFV-D-HNZJI-01A-1805-AC02-S-RT-01>display interface brief main
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
(mf): mac-flapping blocked
(c): CFM down
(sd): STP instance discarding
InUti/OutUti: input utility/output utility
Interface                   PHY   Protocol  InUti OutUti   inErrors  outErrors
LoopBack290                 up    up(s)        0%     0%          0          0
LoopBack291                 up    up(s)        0%     0%          0          0
LoopBack292                 up    up(s)        0%     0%          0          0
LoopBack293                 up    up(s)        0%     0%          0          0
LoopBack294                 up    up(s)        0%     0%          0          0
LoopBack295                 up    up(s)        0%     0%          0          0
LoopBack296                 up    up(s)        0%     0%          0          0
LoopBack297                 up    up(s)        0%     0%          0          0
LoopBack298                 up    up(s)        0%     0%          0          0
LoopBack299                 up    up(s)        0%     0%          0          0
LoopBack300                 up    up(s)        0%     0%          0          0
LoopBack301                 up    up(s)        0%     0%          0          0
LoopBack302                 up    up(s)        0%     0%          0          0
LoopBack303                 up    up(s)        0%     0%          0          0
LoopBack304                 up    up(s)        0%     0%          0          0
LoopBack305                 up    up(s)        0%     0%          0          0
LoopBack306                 up    up(s)        0%     0%          0          0
LoopBack307                 up    up(s)        0%     0%          0          0
LoopBack308                 up    up(s)        0%     0%          0          0
LoopBack309                 up    up(s)        0%     0%          0          0
LoopBack310                 up    up(s)        0%     0%          0          0
LoopBack311                 up    up(s)        0%     0%          0          0
LoopBack312                 up    up(s)        0%     0%          0          0
LoopBack313                 up    up(s)        0%     0%          0          0
LoopBack314                 up    up(s)        0%     0%          0          0
LoopBack315                 up    up(s)        0%     0%          0          0
LoopBack316                 up    up(s)        0%     0%          0          0
LoopBack317                 up    up(s)        0%     0%          0          0
LoopBack318                 up    up(s)        0%     0%          0          0
LoopBack319                 up    up(s)        0%     0%          0          0
LoopBack320                 up    up(s)        0%     0%          0          0
LoopBack321                 up    up(s)        0%     0%          0          0
LoopBack322                 up    up(s)        0%     0%          0          0
LoopBack323                 up    up(s)        0%     0%          0          0
LoopBack324                 up    up(s)        0%     0%          0          0
LoopBack325                 up    up(s)        0%     0%          0          0
LoopBack326                 up    up(s)        0%     0%          0          0
LoopBack327                 up    up(s)        0%     0%          0          0
LoopBack328                 up    up(s)        0%     0%          0          0
LoopBack329                 up    up(s)        0%     0%          0          0
LoopBack330                 up    up(s)        0%     0%          0          0
LoopBack331                 up    up(s)        0%     0%          0          0
LoopBack332                 up    up(s)        0%     0%          0          0
LoopBack333                 up    up(s)        0%     0%          0          0
LoopBack334                 up    up(s)        0%     0%          0          0
LoopBack335                 up    up(s)        0%     0%          0          0
LoopBack336                 up    up(s)        0%     0%          0          0
LoopBack337                 up    up(s)        0%     0%          0          0
LoopBack338                 up    up(s)        0%     0%          0          0
LoopBack339                 up    up(s)        0%     0%          0          0
LoopBack340                 up    up(s)        0%     0%          0          0
LoopBack341                 up    up(s)        0%     0%          0          0
LoopBack342                 up    up(s)        0%     0%          0          0
LoopBack343                 up    up(s)        0%     0%          0          0
LoopBack344                 up    up(s)        0%     0%          0          0
LoopBack345                 up    up(s)        0%     0%          0          0
LoopBack346                 up    up(s)        0%     0%          0          0
LoopBack347                 up    up(s)        0%     0%          0          0
LoopBack348                 up    up(s)        0%     0%          0          0
LoopBack349                 up    up(s)        0%     0%          0          0
LoopBack350                 up    up(s)        0%     0%          0          0
LoopBack351                 up    up(s)        0%     0%          0          0
LoopBack352                 up    up(s)        0%     0%          0          0
LoopBack353                 up    up(s)        0%     0%          0          0
LoopBack354                 up    up(s)        0%     0%          0          0
LoopBack355                 up    up(s)        0%     0%          0          0
LoopBack356                 up    up(s)        0%     0%          0          0
LoopBack357                 up    up(s)        0%     0%          0          0
LoopBack358                 up    up(s)        0%     0%          0          0
LoopBack359                 up    up(s)        0%     0%          0          0
LoopBack360                 up    up(s)        0%     0%          0          0
LoopBack361                 up    up(s)        0%     0%          0          0
LoopBack362                 up    up(s)        0%     0%          0          0
LoopBack363                 up    up(s)        0%     0%          0          0
LoopBack364                 up    up(s)        0%     0%          0          0
LoopBack365                 up    up(s)        0%     0%          0          0
LoopBack366                 up    up(s)        0%     0%          0          0
LoopBack367                 up    up(s)        0%     0%          0          0
LoopBack368                 up    up(s)        0%     0%          0          0
LoopBack369                 up    up(s)        0%     0%          0          0
LoopBack370                 up    up(s)        0%     0%          0          0
LoopBack10101               up    up(s)        0%     0%          0          0
LoopBack10112               up    up(s)        0%     0%          0          0
LoopBack10136               up    up(s)        0%     0%          0          0
LoopBack10150               up    up(s)        0%     0%          0          0
LoopBack10158               up    up(s)        0%     0%          0          0
LoopBack10712               up    up(s)        0%     0%          0          0
LoopBack10714               up    up(s)        0%     0%          0          0
LoopBack26117               up    up(s)        0%     0%          0          0
LoopBack26149               up    up(s)        0%     0%          0          0
LoopBack27117               up    up(s)        0%     0%          0          0
LoopBack27149               up    up(s)        0%     0%          0          0
LoopBack28117               up    up(s)        0%     0%          0          0
LoopBack28149               up    up(s)        0%     0%          0          0
LoopBack75231               up    up(s)        0%     0%          0          0
LoopBack75233               up    up(s)        0%     0%          0          0
LoopBack75416               up    up(s)        0%     0%          0          0
LoopBack75417               up    up(s)        0%     0%          0          0
LoopBack75418               up    up(s)        0%     0%          0          0
NULL0                       up    up(s)        0%     0%          0          0
Nve1                        up    up           --     --          0          0
Vbdif4100                   up    up           --     --          0          0
Vbdif4101                   up    up           --     --          0          0
Vbdif4102                   up    up           --     --          0          0
Vbdif4104                   up    down         --     --          0          0
Vbdif4114                   up    up           --     --          0          0
Vbdif4115                   up    down         --     --          0          0
Vbdif4117                   up    down         --     --          0          0
Vbdif4118                   up    up           --     --          0          0
Vbdif4119                   up    up           --     --          0          0
Vbdif4126                   up    up           --     --          0          0
Vbdif4127                   up    up           --     --          0          0
Vbdif4128                   up    up           --     --          0          0
Vbdif4132                   up    up           --     --          0          0
Vbdif4135                   up    up           --     --          0          0
Vbdif4136                   up    down         --     --          0          0
Vbdif4148                   up    up           --     --          0          0
Vbdif4150                   up    down         --     --          0          0
Vbdif4151                   up    up           --     --          0          0
Vbdif4152                   up    up           --     --          0          0
Vbdif4153                   up    up           --     --          0          0
Vbdif4154                   up    up           --     --          0          0
Vbdif4156                   up    up           --     --          0          0
Vbdif4157                   up    up           --     --          0          0
Vbdif4158                   up    down         --     --          0          0
Vbdif4159                   up    up           --     --          0          0
Vbdif4161                   up    up           --     --          0          0
Vbdif4165                   up    up           --     --          0          0
Vbdif4166                   up    up           --     --          0          0
Vbdif4167                   up    down         --     --          0          0
Vbdif4168                   up    up           --     --          0          0
Vbdif4170                   up    down         --     --          0          0
Vbdif4171                   up    up           --     --          0          0
Vbdif4172                   up    up           --     --          0          0
Vbdif4173                   up    down         --     --          0          0
Vbdif4175                   up    up           --     --          0          0
Vbdif4176                   up    up           --     --          0          0
Vbdif4177                   up    up           --     --          0          0
Vbdif4178                   up    up           --     --          0          0
Vbdif4179                   up    up           --     --          0          0
Vbdif4180                   up    up           --     --          0          0
Vbdif4183                   up    up           --     --          0          0
Vbdif4184                   up    up           --     --          0          0
Vbdif4185                   up    down         --     --          0          0
Vbdif4186                   up    up           --     --          0          0
Vbdif4188                   up    down         --     --          0          0
Vbdif4193                   up    down         --     --          0          0
Vbdif4194                   up    up           --     --          0          0
Vbdif4195                   up    up           --     --          0          0
Vbdif4196                   up    down         --     --          0          0
Vbdif4205                   up    down         --     --          0          0
Vbdif4208                   up    up           --     --          0          0
Vbdif4209                   up    up           --     --          0          0
Vbdif4211                   up    up           --     --          0          0
Vbdif4212                   up    down         --     --          0          0
Vbdif4213                   up    up           --     --          0          0
Vbdif4214                   up    up           --     --          0          0
Vbdif4215                   up    up           --     --          0          0
Vbdif4217                   up    down         --     --          0          0
Vbdif4218                   up    up           --     --          0          0
Vbdif4222                   up    down         --     --          0          0
Vbdif4224                   up    up           --     --          0          0
Vbdif4225                   up    up           --     --          0          0
Vbdif4226                   up    up           --     --          0          0
Vbdif4227                   up    up           --     --          0          0
Vbdif4228                   up    up           --     --          0          0
Vbdif4230                   up    up           --     --          0          0
Vbdif4231                   up    down         --     --          0          0
Vbdif4234                   up    up           --     --          0          0
Vbdif4235                   up    down         --     --          0          0
Vbdif4236                   up    up           --     --          0          0
Vbdif4237                   up    up           --     --          0          0
Vbdif4238                   up    down         --     --          0          0
Vbdif4239                   up    up           --     --          0          0
Vbdif4241                   up    up           --     --          0          0
Vbdif4242                   up    up           --     --          0          0
Vbdif4244                   up    up           --     --          0          0
Vbdif4245                   up    down         --     --          0          0
Vbdif4246                   up    up           --     --          0          0
Vbdif4253                   up    up           --     --          0          0
Vbdif4254                   up    up           --     --          0          0
Vbdif4255                   up    up           --     --          0          0
Vbdif4256                   up    down         --     --          0          0
Vbdif4257                   up    down         --     --          0          0
Vbdif4263                   up    down         --     --          0          0
Vbdif4264                   up    up           --     --          0          0
Vbdif4265                   up    up           --     --          0          0
Vbdif4266                   up    up           --     --          0          0
Vbdif4267                   up    down         --     --          0          0
Vbdif4268                   up    up           --     --          0          0
Vbdif4270                   up    down         --     --          0          0
Vbdif4271                   up    up           --     --          0          0
Vbdif4272                   up    down         --     --          0          0
Vbdif4273                   up    up           --     --          0          0
Vbdif4274                   up    up           --     --          0          0
Vbdif4275                   up    up           --     --          0          0
Vbdif4277                   up    up           --     --          0          0
Vbdif4279                   up    up           --     --          0          0
Vbdif4281                   up    down         --     --          0          0
Vbdif4282                   up    up           --     --          0          0
Vbdif4283                   up    up           --     --          0          0
Vbdif4284                   up    up           --     --          0          0
Vbdif4289                   up    down         --     --          0          0
Vbdif4290                   up    up           --     --          0          0
Vbdif4291                   up    up           --     --          0          0
Vbdif4292                   up    down         --     --          0          0
Vbdif4298                   up    up           --     --          0          0
Vbdif4299                   up    down         --     --          0          0
Vbdif4301                   up    up           --     --          0          0
Vbdif4302                   up    down         --     --          0          0
Vbdif4309                   up    up           --     --          0          0
Vbdif4311                   up    up           --     --          0          0
Vbdif4312                   up    up           --     --          0          0
Vbdif4313                   up    down         --     --          0          0
Vbdif4314                   up    up           --     --          0          0
Vbdif4316                   up    down         --     --          0          0
Vbdif4317                   up    up           --     --          0          0
Vbdif4321                   up    up           --     --          0          0
Vbdif4322                   up    down         --     --          0          0
Vbdif4324                   up    up           --     --          0          0
Vbdif4325                   up    down         --     --          0          0
Vbdif4330                   up    down         --     --          0          0
Vbdif4331                   up    up           --     --          0          0
Vbdif4333                   up    up           --     --          0          0
Vbdif4334                   up    up           --     --          0          0
Vbdif4335                   up    down         --     --          0          0
Vbdif4336                   up    up           --     --          0          0
Vbdif4337                   up    up           --     --          0          0
Vbdif4341                   up    down         --     --          0          0
Vbdif4342                   up    up           --     --          0          0
Vbdif4343                   up    up           --     --          0          0
Vbdif4344                   up    down         --     --          0          0
Vbdif4345                   up    down         --     --          0          0
Vbdif4346                   up    up           --     --          0          0
Vbdif4353                   up    down         --     --          0          0
Vbdif4354                   up    up           --     --          0          0
Vbdif4359                   up    up           --     --          0          0
Vbdif4360                   up    up           --     --          0          0
Vbdif4361                   up    up           --     --          0          0
Vbdif4362                   up    down         --     --          0          0
Vbdif4363                   up    up           --     --          0          0
Vbdif4364                   up    up           --     --          0          0
Vbdif4365                   up    up           --     --          0          0
Vbdif4366                   up    down         --     --          0          0
Vbdif4367                   up    up           --     --          0          0
Vbdif4369                   up    down         --     --          0          0
Vbdif4370                   up    up           --     --          0          0
Vbdif4371                   up    up           --     --          0          0
Vbdif4374                   up    up           --     --          0          0
Vbdif4375                   up    up           --     --          0          0
Vbdif4376                   up    up           --     --          0          0
Vbdif4377                   up    down         --     --          0          0
Vbdif4384                   up    up           --     --          0          0
Vbdif4385                   up    up           --     --          0          0
Vbdif4386                   up    up           --     --          0          0
Vbdif4390                   up    up           --     --          0          0
Vbdif4391                   up    up           --     --          0          0
Vbdif4392                   up    down         --     --          0          0
Vbdif4396                   up    down         --     --          0          0
Vbdif4397                   up    up           --     --          0          0
Vbdif4401                   up    up           --     --          0          0
Vbdif4402                   up    down         --     --          0          0
Vbdif4403                   up    up           --     --          0          0
Vbdif4407                   up    down         --     --          0          0
Vbdif4408                   up    up           --     --          0          0
Vbdif4412                   up    down         --     --          0          0
Vbdif4413                   up    up           --     --          0          0
Vbdif4414                   up    up           --     --          0          0
Vbdif4418                   up    down         --     --          0          0
Vbdif4419                   up    up           --     --          0          0
Vbdif4425                   up    up           --     --          0          0
Vbdif4426                   up    down         --     --          0          0
Vbdif4427                   up    up           --     --          0          0
Vbdif4428                   up    up           --     --          0          0
Vbdif4433                   up    up           --     --          0          0
Vbdif4434                   up    down         --     --          0          0
Vbdif4435                   up    up           --     --          0          0
Vbdif4439                   up    up           --     --          0          0
Vbdif4442                   up    up           --     --          0          0
Vbdif4443                   up    up           --     --          0          0
Vbdif4445                   up    up           --     --          0          0
Vbdif4446                   up    down         --     --          0          0
Vbdif4447                   up    down         --     --          0          0
Vbdif4450                   up    up           --     --          0          0
Vbdif4451                   up    up           --     --          0          0
Vbdif4452                   up    up           --     --          0          0
Vbdif4459                   up    down         --     --          0          0
Vbdif4460                   up    down         --     --          0          0
